"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Kategorie Ebene 1";"Kategorie Ebene 2";"Kategorie Ebene 3";"Kategorie Ebene 4";"Kategorie Ebene 5";"Kategorie Ebene 6";"Kategorie Ebene 7";"Kategorie Ebene 8";"Kategorie Ebene 9";"Kategorie Ebene 10";"URL-Pfad";"Beschreibung";"Title-Tag";"Meta-Description";"Meta-Keywords";
"202500";"Leibniz Butterkeks Choco Edelherb 125g";"53";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"202400";"Ritter Sport Mini";"52";;;;"02 Snacks";;;;;;;;;;;;;;;
"202300";"Dextro Energy Würfel Zitrone";"51";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"202200";"REWE Bio Reiswaffeln glutenfrei 100g";"49";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"201900";"Corny Riegel Schoko 25g";"48";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"300200";"Jessa Maxi-Binden Classic Lang,1 St.";"46";;;;"03 Hygiene";;;;;;;;;;;;;;;
"500300";"Apfel";"45";;;;"05 Obst";;;;;;;;;;;;;;;
"500200";"Banane";"44";;;;"05 Obst";;;;;;;;;;;;;;;
"500100";"Birnen";"43";;;;"05 Obst";;;;;;;;;;;;;;;
"400200";"Tee Meßmer Türkischer Apfel-Feige";"42";;;;"04 Allrounder";;;;;;;;;;;;;;;
"400800";"Ja! Butterbrot Tüten 100 Stück";"41";;;;"04 Allrounder";;;;;;;;;;;;;;;
"400500";"Brillenputzücher 2 Stk";"40";;;;"04 Allrounder";;;;;;;;;;;;;;;
"400100";"Ohropax Ohrstöpsel Color, 8 St";"39";;;;"04 Allrounder";;;;;;;;;;;;;;;
"202100";"Corny Free Müsliriegel Weiße Schokolade 20g";"33";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"202000";"Corny Schoko-Banane 25g";"32";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201500";"Kaugummi Airwaves Cool Cassis";"31";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201700";"tic tac fresh orange 18g";"28";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201600";"tic tac fresh mint 18g";"27";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201100";"Duplo,20g";"25";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201200";"Erdnüsse geröstet & gesalzen 50g";"24";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"200800";"Knoppers";"22";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"200900";"Twix Schokoriegel 50g";"20";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"200600";"Snickers 50g";"19";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"200700";"Mars Schokoriegel 45g";"18";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"200400";"Haribo Goldbären 75g";"17";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"200200";"Pringles Orginal 40g";"12";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"200100";"funny-frisch Chipsfrisch ungarisch 40g";"9";;;;"02 Snacks";;;;;;;;;;;;;;;
"100500";"Paulaner Spezi 0,5l";"8";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"101010";"H-Milch 0,5l Weihenstephan";"7";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"100300";"Capri Sonne 0,2l Multivitamin";"3";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"100200";"fuzetea Schwarzer Tee Zitrone 400ml";"2";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
"100100";"fuzetea Schwarzer Tee Pfirsich 400ml";"1";;;;"01 Getränke";"1.1 Softdrinks";;;;;;;;;;;;;;
